SECURITY,NEW,PREVIOUS,NEW_STATUS
ADVAIT ENRGY TRANSITION L     ,1685.00,1618.70,H
C K K RETAIL MART LIMITED     ,171.15,163.00,H
CLC INDUSTRIES LIMITED        ,11.98,11.41,H
CORONA REMEDIES LIMITED       ,1560.00,1541.00,H
INVESCO INDIA NIFTY ETF       ,3147.00,3109.52,H
MOTILALAMC - MOSMALL250       ,19.38,19.30,H
NAVIN FLUORINE INT. LTD       ,6473.00,6443.00,H
PRESSTONIC ENGINEERING L      ,10.50,9.40,H
R&B DENIMS LIMITED            ,168.40,166.40,H
S.A.L. STEEL LTD.             ,45.49,45.12,H
SHARDA CROPCHEM LTD.          ,1208.00,1200.50,H
SHREEJI SHIPPING GLOBAL L     ,398.00,394.00,H
VIJAYPD CEUTICAL LIMITED      ,65.00,56.80,H
ARC INSULATION & INSU LTD     ,55.35,55.50,L
ARISINFRA SOLUTIONS LTD       ,83.10,89.71,L
AURI GROW INDIA LIMITED       ,0.38,0.39,L
AURO IMPEX & CHEMICALS L      ,30.50,31.60,L
AUTHUM INVEST & INFRA LTD     ,487.25,490.00,L
AWFIS SPACE SOLUTIONS LTD     ,356.40,370.35,L
BLUSPRING ENTERPRISES LTD     ,54.95,56.20,L
C K K RETAIL MART LIMITED     ,163.00,163.00,L
CEDAAR TEXTILE LIMITED        ,40.00,40.75,L
COOL CAPS INDUSTRIES LTD      ,30.05,31.60,L
CURRENT INFRAPROJECTS LTD     ,120.00,120.05,L
CYIENT DLM LIMITED            ,344.55,345.80,L
DAM CAPITAL ADVISORS LTD      ,165.23,167.07,L
DHARIWALCORP LIMITED          ,78.70,90.50,L
GROWWAMC - GROWWGOLD          ,14.50,73.00,L
GROWWAMC - GROWWSLVR          ,22.53,94.20,L
HEXAWARE TECHNOLOGIES LTD     ,572.50,590.30,L
JANA SMALL FIN BANK LTD       ,338.90,339.80,L
JAY BEE LAMINATIONS LTD       ,78.00,78.80,L
KAMDHENU VENTURES LIMITED     ,5.30,5.36,L
MASTER TRUST LIMITED          ,86.05,86.11,L
ORCHASP LIMITED               ,2.07,2.11,L
PAUSHAK LIMITED               ,462.05,465.00,L
PRESSTONIC ENGINEERING L      ,5.65,9.40,L
REVATHI EQUIPMENT INDIA L     ,605.30,617.10,L
SADBHAV ENGINEERING LTD       ,6.05,6.06,L
SHIVALIK RASAYAN LIMITED      ,282.30,293.00,L
SMARTEN POWER SYSTEMS LTD     ,55.50,56.30,L
SUNDREX OIL COMPANY LTD       ,27.25,27.35,L
TRACXN TECHNOLOGIES LTD       ,31.04,31.95,L
TRIDHYA TECH LIMITED          ,12.75,13.00,L
UNITED HEAT TRANSFER LTD      ,46.00,46.05,L
VEDANT FASHIONS LIMITED       ,458.40,465.50,L
